,1,Bitcoin1BTC,"$23,416.10",0.03%,0.06%,6.36%,"$451.94B$451,941,828,742","$21,934,204,220936,879 BTC","19,303,862 BTC",,
,2,Ethereum2ETH,"$1,629.52",0.03%,0.41%,4.45%,"$199.37B$199,372,976,475","$6,941,623,9134,260,725 ETH","122,373,866 ETH",,
,3,Tether3USDT,$1.00,0.01%,0.01%,0.01%,"$70.95B$70,945,146,610","$31,068,110,17631,061,533,632 USDT","70,930,128,835 USDT",,
,4,BNB4BNB,$303.79,0.06%,0.73%,3.94%,"$47.97B$47,967,734,346","$389,729,0011,282,871 BNB","157,895,446 BNB",,
,5,USD Coin5USDC,$1.00,0.00%,0.02%,0.00%,"$42.55B$42,547,569,753","$3,219,580,4483,219,237,902 USDC","42,543,042,911 USDC",,
,6,XRP6XRP,$0.3773,0.12%,0.34%,5.62%,"$19.23B$19,225,151,872","$1,083,734,6032,872,136,865 XRP","50,950,912,949 XRP",,
,7,Cardano7ADA,$0.3649,0.04%,0.25%,9.74%,"$12.65B$12,648,296,361","$232,313,675636,706,923 ADA","34,665,448,963 ADA",,
,8,Dogecoin8DOGE,$0.08223,0.08%,0.91%,6.73%,"$10.91B$10,909,030,324","$315,432,8183,836,153,332 DOGE","132,670,764,300 DOGE",,
,9,Polygon9MATIC,$1.23,0.35%,2.20%,16.28%,"$10.78B$10,779,390,410","$537,081,749435,186,251 MATIC","8,734,317,475 MATIC",,
,10,Binance USD10BUSD,$1.00,0.02%,0.02%,0.02%,"$10.64B$10,641,396,820","$5,750,226,9825,747,550,881 BUSD","10,636,444,417 BUSD",,
,,SolanaSOL,$22.35,
,,PolkadotDOT,$6.54,
,,Shiba InuSHIB,$0.00,
,,LitecoinLTC,$93.94,
,,TRONTRX,$0.07,
,,AvalancheAVAX,$17.68,
,,DaiDAI,$1.00,
,,UniswapUNI,$6.50,
,,Wrapped BitcoinWBTC,$23386.93,
,,ChainlinkLINK,$7.32,
,,CosmosATOM,$12.69,
,,UNUS SED LEOLEO,$3.33,
,,OKBOKB,$50.92,
,,ToncoinTON,$2.45,
,,Ethereum ClassicETC,$21.35,
,,MoneroXMR,$149.90,
,,FilecoinFIL,$6.82,
,,Lido DAOLDO,$3.13,
,,Bitcoin CashBCH,$133.77,
,,StellarXLM,$0.09,
,,CronosCRO,$0.08,
,,VeChainVET,$0.03,
,,NEAR ProtocolNEAR,$2.30,
,,AptosAPT,$12.12,
,,HederaHBAR,$0.07,
,,ApeCoinAPE,$5.03,
,,AlgorandALGO,$0.25,
,,Internet ComputerICP,$5.99,
,,QuantQNT,$125.85,
,,The GraphGRT,$0.16,
,,FantomFTM,$0.45,
,,EOSEOS,$1.16,
,,FlowFLOW,$1.20,
,,BitDAOBIT,$0.59,
,,DecentralandMANA,$0.65,
,,MultiversXEGLD,$48.31,
,,StacksSTX,$0.87,
,,Theta NetworkTHETA,$1.17,
,,TrueUSDTUSD,$1.00,
,,AaveAAVE,$79.04,
,,Axie InfinityAXS,$9.90,
,,TezosXTZ,$1.18,
,,The SandboxSAND,$0.70,
,,Terra ClassicLUNC,$0.00,
,,Rocket PoolRPL,$48.10,
,,ChilizCHZ,$0.13,
,,KlaytnKLAY,$0.29,
,,OptimismOP,$2.86,
,,NeoNEO,$12.63,
,,Pax DollarUSDP,$1.00,
,,ImmutableXIMX,$1.03,
,,KuCoin TokenKCS,$8.80,
,,Huobi TokenHT,$5.29,
,,MinaMINA,$0.95,
,,DashDASH,$72.57,
,,Bitcoin SVBSV,$41.87,
,,Frax ShareFXS,$10.82,
,,MakerMKR,$775.44,
,,PancakeSwapCAKE,$3.98,
,,Curve DAO TokenCRV,$1.02,
,,USDDUSDD,$1.00,
,,ZcashZEC,$44.05,
,,SynthetixSNX,$2.84,
,,BitTorrent-NewBTT,$0.00,
,,IOTAMIOTA,$0.24,
,,eCashXEC,$0.00,
,,GMXGMX,$73.87,
,,Gemini DollarGUSD,$1.00,
,,SingularityNETAGIX,$0.47,
,,GateTokenGT,$5.20,
,,Trust Wallet TokenTWT,$1.34,
,,ConfluxCFX,$0.22,
,,THORChainRUNE,$1.61,
,,NEMXEM,$0.06,
,,ZilliqaZIL,$0.03,
,,PAX GoldPAXG,$1801.32,
,,LoopringLRC,$0.37,
,,Enjin CoinENJ,$0.48,
,,dYdXDYDX,$3.01,
,,OsmosisOSMO,$0.95,
,,FlareFLR,$0.04,
,,1inch Network1INCH,$0.58,
,,Convex FinanceCVX,$6.08,
,,ssv.networkSSV,$45.40,
,,Basic Attention TokenBAT,$0.30,
,,CasperCSPR,$0.04,
,,Fei USDFEI,$1.00,
,,EthereumPoWETHW,$3.86,
,,AnkrANKR,$0.04,
,,Bone ShibaSwapBONE,$1.73,
